time,china,asia-east,asia,europe,europe-west,europe-north,europe-east,north-america,us,us-east,us-west,singapore,ukraine,russia,canada,sweden,japan,taiwan,germany,south korea,others,total
2019-08-12,0.304184659675098,0.123833188581492,0.0623725066831174,0.181901089862225,0.104449032764425,0,0.0716050591527149,0.0300016769350514,0.0434603125642608,0,0,0.0165021591610117,0,0.00169648365206663,0,0,0,0.0112584824182603,0.00632325724861197,0.0272979642196175,0.0151141270820481,6484
2019-08-15,0.313633764748688,0.111717320701883,0.0605395290815531,0.186092832267789,0.108227627152155,0,0.0730168094061748,0.0287285592843054,0.0377379281667446,0,0,0.014345859971932,0,0.00748479650709496,0,0,0,0.0113831280212069,0.00561359738032122,0.0263527210353969,0.0151255262747544,6413
2019-08-16,0.308213159662997,0.121932119729298,0.0638755362588515,0.17307489533261,0.103443130649674,0,0.0709620139106881,0.0291395538216751,0.0490370600093038,0,0,0.0155062800434176,0,0.0038765700108544,0,0,0,0.013180338036905,0.00542719801519615,0.0268258644751124,0.0155062800434176,6449
2019-08-17,0.323045267489712,0.126071243249947,0.0600941358024691,0.168684156378601,0.103603049106753,0,0.0710259080127907,0.0298553551860651,0.0410776748971194,0,0,0.0146604938271605,0,0.00478395061728395,0,0,0,0.00987654320987654,0.00432098765432099,0.0285493827160494,0.0143518518518519,6480
2019-08-18,0.305939619905753,0.121199131367222,0.0624473098234167,0.189937341411631,0.103639209597109,0,0.0712126643947368,0.0291004627161222,0.0445963440526125,0,0,0.0147584278390555,0,0.00295168556781109,0,0,0,0.0127388535031847,0.00590337113562219,0.0245455957744291,0.0110299829112941,6437
2019-08-21,0.314105546079496,0.11586668125744,0.0633385020933478,0.181182612291311,0.104872376874238,0,0.0713747087574038,0.0287111672092289,0.0439473820230527,0,0,0.0144208404403784,0,0.00279113040781517,0,0,0,0.0122499612342999,0.00713288881997209,0.0243448596681656,0.0156613428438518,6449
2019-08-25,0.325573138567661,0.110363184198851,0.0624239196591601,0.187943801988233,0.101818764045179,0,0.069148241904024,0.0274038329803698,0.0410707039967539,0,0,0.013542300669507,0,0.00380401704199635,0,0,0,0.0123250152160682,0.0059342665855143,0.0257151552038953,0.0129336579427876,6572
2019-08-26,0.313164649798313,0.120754231793521,0.0683990780030384,0.176372780135156,0.103017181673947,0,0.0709436861945113,0.0291887192913438,0.0383231180260883,0,0,0.016030174446016,0,0.00597202577400597,0,0,0,0.0105296243910105,0.00612918434700613,0.0260883231180261,0.0150872230080151,6363
2019-08-28,0.319656786271451,0.120740347228647,0.06334997399896,0.16921892875715,0.104552351927235,0,0.0714507083347957,0.0293096346310075,0.0469942797711909,0,0,0.0154446177847114,0,0.00436817472698908,0.00015600624024961,0,0,0.00889235569422777,0.00546021840873635,0.0269890795631825,0.0134165366614665,6410
2019-08-30,0.324082735682362,0.119153069450856,0.0573708554204345,0.174660638187299,0.101268914420926,0,0.0699202192259567,0.0288034158607904,0.0464738592661885,0,0,0.0159027128157156,0,0.00249454318677892,0,0,0,0.00997817274711568,0.00530090427190521,0.0261927034611787,0.0183972560024945,6414
2019-09-03,0.314950788939228,0.117855842772106,0.0650127584231631,0.170221319585481,0.102941836629854,0,0.0702625962833743,0.028577280946442,0.0511274280060407,0,0,0.0159350101546633,0,0.000312451179503203,0,0,0,0.0139040774878925,0.00671770035931886,0.0248398687705046,0.0173410404624277,6401
2019-09-04,0.322329995828119,0.129057660939232,0.0607519816437213,0.165682102628285,0.0988698686455257,0,0.0687063142113205,0.0297115879936593,0.0501095118898623,0,0,0.0134543178973717,0,0.000938673341677096,0,0,0,0.0117334167709637,0.0045369211514393,0.0272215269086358,0.0168961201501877,6392
2019-09-05,0.322737375303665,0.123778102543027,0.0578906290380938,0.170193828500543,0.100100266886901,0,0.0691637030433743,0.0294885524297836,0.0458598232284075,0,0,0.0175220964490619,0,0.00186075360521011,0,0,0,0.0122499612342999,0.00744301442084044,0.0240347340672973,0.0176771592494961,6449
2019-09-06,0.323776698522116,0.11965117393568,0.055462426236357,0.172231448117395,0.104825972080085,0,0.0713362263404563,0.0292688773696137,0.0496574233641444,0,0,0.0155099483001723,0,0.000783330722230926,0,0,0,0.0104966316778944,0.004229985900047,0.0249099169669435,0.0178599404668651,6383
2019-09-07,0.327317983820784,0.119531414137979,0.0508488902717279,0.174089400539307,0.101526485438278,0,0.0697528386812768,0.0288843457499338,0.0521307819954366,0,0,0.0172682016179216,0,0.00202240199128811,0,0,0,0.0112009956440573,0.00404480398257623,0.0248911014312383,0.0164903546981954,6428
2019-09-08,0.326148078725398,0.116438154258835,0.0563881078829533,0.169585546183484,0.105196122278597,0,0.0713094696648274,0.0289869004706556,0.0475346245964803,0,0,0.0149953139643861,0,0.00452983442674164,0,0,0,0.0131208997188379,0.00577944392377382,0.0229615745079663,0.0170259293970634,6402
2019-09-09,0.313490829965807,0.123112503454592,0.0640534659620765,0.170755362138639,0.0999418619710818,0,0.0685913562158511,0.0291500508172874,0.0469754429592788,0,0,0.0167858253030774,0,0.00466272925085483,0,0,0,0.0116568231271371,0.00590612371774946,0.0265775567298726,0.0183400683866957,6434
2019-09-11,0.310444824193465,0.127703955698518,0.063995132308011,0.181416809072549,0.0962239601584017,0,0.0672550664938423,0.0294632814367163,0.0464424421314277,0,0,0.0150691315830356,0,0.00341774118378127,0,0,0,0.010874631039304,0.00590337113562219,0.0236134845424887,0.0181761690228367,6437
2019-09-14,0.338561076604555,0.120437527165478,0.0637629399585921,0.170898550724638,0.098112055909882,0,0.0677764877080095,0.0285807615147677,0.038268115942029,0,0,0.012111801242236,0,0.00481366459627329,0,0,0,0.0122670807453416,0.00419254658385093,0.0232919254658385,0.0169254658385093,6440
